graph_id,label,feat
290,0,572.79;2.97;11.69;7.72;3.14;0.6;12.96;6.3;3.59
291,0,663.8;3;11.71;7.25;3.03;0.7;13.44;5.65;4.34
292,0,644.34;2.15;11.43;6.58;3.52;2.1;12.96;6.36;4.77
293,0,584.17;2.39;11.51;6.95;3.03;0.1;10.98;5.53;3.39
294,0,654.04;3;11.69;7.35;2.65;0.8;12.96;6.54;4.59
295,0,611.93;2.85;11.69;6.94;3.38;0.2;12.96;6.33;4.46
296,0,577.37;3;11.74;6.81;3.03;2.1;12.96;6.05;3.71
297,0,590.82;3;11.69;7.75;3.19;0.5;12.96;6.36;3.76
298,0,670.08;2.36;11.8;7.28;3.15;0.2;13.15;6.6;4.75
299,0,571.51;3;11.91;7.33;2.58;0.8;12.96;6.12;3.42
300,0,664;2.47;11.67;6.73;2.73;0.2;14.1;5.97;4.77
301,0,559.5;3;11.69;7.62;3.2;1;11.97;5.92;3.02
302,0,700.73;3;11.99;7.38;2.83;1.2;10.35;5.63;4.19
303,0,630.35;2.93;11.67;7.22;2.92;2.2;9.9;5.86;3.57
304,0,576.96;3;11.84;7.52;2.82;1;13.96;6.14;3.69
305,0,610.74;2.15;11.83;6.91;3.11;0.9;10.1;5.63;3.59
306,0,559.5;2.93;11.51;7.71;3.26;0.1;12.05;5.92;3.25
307,0,620.39;3;11.84;7.28;2.98;0.3;12.96;6.44;4.16
308,0,701.42;2.88;11.4;6.35;2.83;4.1;13.22;6.19;4.83
309,0,686.78;2.27;11.7;6.75;3.1;0.7;12.96;5.92;4.83
310,0,578.74;2.73;11.74;7.54;2.97;0.4;12.96;6.32;3.66
311,0,617.6;2;11.69;7.57;3.26;2.09;12.96;6.06;3.72
312,0,574.27;2.4;11.84;7.1;2.96;1.2;12.96;6.05;3.58
313,0,614.19;2.85;11.4;7.24;2.74;0.4;11.09;5.77;3.64
314,0,645.06;3;11.26;6.23;2.56;1.3;12.15;5.61;4.36
315,0,679.9;2.55;11.69;6.1;2.91;1.3;12.96;5.77;4.86
316,0,559.5;3;11.87;7.46;2.81;1;12.96;6.7;3.02
317,0,595.88;2.62;11.69;7.16;3.01;2.28;10.76;6.17;3.47
318,0,660.48;2.5;11.69;6.91;3.07;2.8;12.96;6.43;4.75
319,0,579.55;3;11.69;6.87;2.99;1.5;12.96;6.12;3.77
320,0,572.37;3;11.69;6.9;2.87;1.4;12.96;6.07;3.59
321,0,744.17;3;11.61;6.22;2.55;2.1;14.85;5.98;5.31
322,0,665.14;3;11.72;7.26;2.69;1.1;13.14;6.55;4.67
323,0,571.19;3;11.75;6.94;2.84;1.4;12.96;6.1;3.58
324,0,668.36;2.83;11.94;7.22;3.05;2.3;13.82;6.47;4.85
325,0,711.92;2.86;11.72;7.22;2.92;1.7;13.36;5.81;4.5
326,0,677.39;3;11.69;7.11;2.77;1.3;13.18;6.56;4.88
327,0,559.5;3;11.87;7.7;2.92;2;9.65;5.81;2.29
328,0,560.54;2.45;11.69;7.14;3.36;0.1;12.96;6.01;3.35
329,0,590.54;3;11.94;7.55;2.91;0.7;12.27;6.3;3.58
330,0,685.33;3;11.69;7.52;3;3.1;16.55;6.76;5.42
331,0,714.04;2.75;11.59;7.01;2.97;1.3;15.12;5.13;5.15
332,0,596.04;2.97;11.77;6.76;3.24;2.4;12.96;6.1;4.21
333,0,626.27;2.13;11.69;7.44;3.05;2.5;12.96;6.12;3.94
334,0,589.52;3;11.38;7.3;2.84;1.1;11.95;5.97;3.46
335,0,669.39;2.88;11.95;7.33;3.28;1.7;9.89;5.61;3.73
336,0,565.83;3;11.76;7.13;2.95;0.6;12.96;6.19;3.51
337,0,575.23;3;11.31;6.54;2.75;0.2;12.78;5.74;3.81
338,0,593.89;2.14;11.97;6.76;3.12;0.1;11.67;5.03;3.9
339,0,704.47;2.69;11.78;7.5;3.14;2.1;10.97;5.42;4.29
340,0,709.42;2.56;11.72;6.4;2.87;0.6;17.12;6.08;5.54
341,0,589.05;3;11.92;7.54;2.87;0.9;14.76;6.33;4.08
342,0,559.5;3;11.69;7.62;2.83;1.3;11.18;6.03;2.82
343,0,627.61;3;11.97;7.23;3.39;2.4;9.65;5.41;3.14
